Segmento;Parcela;Orientacao;S;Abd
1;1;SO;2;4
2;1;SO;3;17
3;1;SO;1;1
4;1;SO;2;7
5;1;SO;2;10
6;1;SO;3;19
7;1;S;4;8
8;1;S;9;72
9;1;SO;1;6
10;1;SO;5;27
11;1;SO;1;1
12;1;SO;1;9
13;1;SO;2;15
14;1;SO;4;16
15;1;SO;2;2
16;1;S;6;25
17;1;S;9;24
18;1;SO;7;38
19;1;SO;2;8
20;1;SO;6;17
21;1;SO;4;39
22;1;S;1;2
23;1;S;7;32
24;1;S;6;46
25;1;S;6;34
26;1;S;3;31
27;2;S;5;26
28;2;SO;7;33
29;2;SO;6;32
30;2;S;5;27
31;2;S;7;57
32;2;SO;5;36
33;2;SO;11;80
34;2;S;6;20
35;2;S;3;10
36;2;S;9;37
37;2;S;6;37
38;2;SO;7;39
39;2;SO;8;31
40;3;O;4;24
41;3;O;6;59
42;3;O;5;16
43;3;SO;5;38
44;3;N;7;16
45;3;S;3;5
46;3;NO;5;13
47;3;SO;5;5
48;3;SO;7;20
51;3;SO;1;2
53;4;SE;2;2
54;4;SE;2;2
55;4;SE;5;14
56;4;SE;6;17
57;4;SE;3;13
58;4;S;6;20
59;4;SE;7;39
60;4;SE;6;10
61;4;SE;7;23
62;4;S;6;22
63;4;L;5;12
64;4;SE;5;7
65;4;L;2;2
66;5;S;10;30
67;5;SE;12;42
68;5;L;7;12
69;5;S;6;16
70;5;S;14;52
71;5;L;13;41
72;5;SE;8;25
73;5;SE;8;40
74;5;S;6;29
75;5;SE;16;69
76;5;SE;16;61
77;5;SE;4;17
78;5;L;9;43
