Segmento;Plots;Acianthera_sp1;Acianthera_sp2;Acianthera_sp3;Scaphyglottis_modesta;Epidendrum_filicaule;Miltonia_spectabilis;Polystachia_sp1;Orchidaceae sp1;Lankesterella_cf_ceracifolia;Eurystyles_sp1;Masdevallia_cf_infracta;Vanilla_chamissonis;Maxillaria_sp1_;Neoregelia_johannis;Aechmea_gracilis;Aechmea_nudicaulis;Aechmea_sp1;Aechmea_sp2;Canistropsis_microps;Billbergia_pyramidalis;Billbergia_amoena;Billbergia_zebrina;Tiilandsia_stricta;Tillandsia_geminiflora;Tillandsia_dura;Tillandsia_tenuifolia;Tillandsia_sp1;Tillandsia_sp2;Vriesea_vagans;Vriesea_procera;Vriesea_sp1;Ctenitis sp1;Microgramma_crispata;Microgramma_geminata;Microgramma_vacciniifolia;Microgramma_tecta;Microgramma squamulosa;Pecluma_sicca;Pecluma_sp1;Pleopeltis_pleopeltifolia;Pleopeltis_astrolepsis;Pleopeltis_hirsutissima;Serpocaulon_triseriale;Serpocaulon_menisciifolium;Campyloneurum_nitidum;Campyloneurum_rigidum;Campyloneurun_sp1;Didymoglossum_sp;Monstera_adansonii;Anthurium_intermedium;Anthurium_pentaphyllum;Anthurium_minarum;Anthurium_sp1;Anthurium_urvileanum;Philodendron_cordatum;Philodendron_crassinervium;Philodendron_sp1;Philodendron_martianum;Lepismium_cruciforme;Hylocereus_setaceus;Rhipsalis_pachyptera;Rhipsalis_teres;Rhipsalis_elliptica;Rhipsalis_clavata;Rhipsalis_crispata;Rhipsalis_sp1;Rhipsalis_sp2;Peperomia_rotundifolia;Peperomia_elongata;Peperomia_urocarpa;Peperomia_sp1;Peperomia_sp2;Peperomia_sp3;Peperomia_sp4;Codonanthe_devosiana;Nemathanthus_sp1
1;Plot 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
2;Plot 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0
3;Plot 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;Plot 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;Plot 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;Plot 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0
7;Plot 1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;Plot 1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;21;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0
9;Plot 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;Plot 1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;2;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
