Segmento;Parcela;Riqueza;Abundancia
1;Restinga1;0;0
2;Restinga1;1;8
3;Restinga1;1;1
4;Restinga1;1;1
5;Restinga1;1;4
6;Restinga1;1;12
7;Restinga1;2;6
8;Restinga1;4;24
9;Restinga1;1;6
1;Restinga1;2;7
11;Restinga1;1;1
12;Restinga1;0;0
13;Restinga1;1;14
14;Restinga1;1;6
15;Restinga1;1;1
16;Restinga1;2;2
17;Restinga1;3;9
18;Restinga1;2;4
19;Restinga1;1;2
2;Restinga1;2;6
21;Restinga1;0;0
22;Restinga1;1;2
23;Restinga1;2;5
24;Restinga1;0;0
25;Restinga1;1;4
26;Restinga1;1;2
27;Restinga2;1;2
28;Restinga2;1;4
29;Restinga2;0;0
3;Restinga2;1;12
31;Restinga2;0;0
32;Restinga2;1;3
33;Restinga2;2;8
34;Restinga2;1;5
35;Restinga2;0;0
36;Restinga2;1;3
37;Restinga2;1;4
38;Restinga2;1;9
39;Restinga2;1;7
4;FlorestaTerrasBaixas;3;14
41;FlorestaTerrasBaixas;3;48
42;FlorestaTerrasBaixas;3;4
43;FlorestaTerrasBaixas;3;31
44;FlorestaTerrasBaixas;2;10
45;FlorestaTerrasBaixas;1;3
46;FlorestaTerrasBaixas;3;9
47;FlorestaTerrasBaixas;3;3
48;FlorestaTerrasBaixas;3;4
5;FlorestaTerrasBaixas;0;0
53;FlorestaSubmontana1;1;1
54;FlorestaSubmontana1;0;0
55;FlorestaSubmontana1;4;12
56;FlorestaSubmontana1;4;9
57;FlorestaSubmontana1;2;4
58;FlorestaSubmontana1;1;1
59;FlorestaSubmontana1;4;7
6;FlorestaSubmontana1;3;4
61;FlorestaSubmontana1;3;7
62;FlorestaSubmontana1;2;2
63;FlorestaSubmontana1;1;1
64;FlorestaSubmontana1;1;1
65;FlorestaSubmontana1;0;0
66;FlorestaSubmontana2;1;5
67;FlorestaSubmontana2;2;5
68;FlorestaSubmontana2;0;0
69;FlorestaSubmontana2;0;0
7;FlorestaSubmontana2;2;2
71;FlorestaSubmontana2;2;9
72;FlorestaSubmontana2;0;0
73;FlorestaSubmontana2;3;5
74;FlorestaSubmontana2;0;0
75;FlorestaSubmontana2;0;0
76;FlorestaSubmontana2;2;7
77;FlorestaSubmontana2;0;0
78;FlorestaSubmontana2;0;0
