Segmento;Parcela;Riqueza;Abundancia
1;Restinga1;1;2
2;Restinga1;1;8
3;Restinga1;0;0
4;Restinga1;0;0
5;Restinga1;0;0
6;Restinga1;1;6
7;Restinga1;0;0
8;Restinga1;1;16
9;Restinga1;0;0
1;Restinga1;1;1
11;Restinga1;0;0
12;Restinga1;0;0
13;Restinga1;1;1
14;Restinga1;1;2
15;Restinga1;0;0
16;Restinga1;1;2
17;Restinga1;1;1
18;Restinga1;1;6
19;Restinga1;0;0
2;Restinga1;1;4
21;Restinga1;1;7
22;Restinga1;0;0
23;Restinga1;1;12
24;Restinga1;0;0
25;Restinga1;0;0
26;Restinga1;0;0
27;Restinga2;0;0
28;Restinga2;1;11
29;Restinga2;1;2
3;Restinga2;0;0
31;Restinga2;1;1
32;Restinga2;1;1
33;Restinga2;1;3
34;Restinga2;0;0
35;Restinga2;0;0
36;Restinga2;1;9
37;Restinga2;0;0
38;Restinga2;0;0
39;Restinga2;0;0
4;FlorestaTerrasBaixas;1;1
41;FlorestaTerrasBaixas;1;7
42;FlorestaTerrasBaixas;0;0
43;FlorestaTerrasBaixas;0;0
44;FlorestaTerrasBaixas;0;0
45;FlorestaTerrasBaixas;0;0
46;FlorestaTerrasBaixas;0;0
47;FlorestaTerrasBaixas;0;0
48;FlorestaTerrasBaixas;0;0
5;FlorestaTerrasBaixas;0;0
53;FlorestaSubmontana1;0;0
54;FlorestaSubmontana1;0;0
55;FlorestaSubmontana1;0;0
56;FlorestaSubmontana1;0;0
57;FlorestaSubmontana1;0;0
58;FlorestaSubmontana1;1;2
59;FlorestaSubmontana1;0;0
6;FlorestaSubmontana1;0;0
61;FlorestaSubmontana1;1;2
62;FlorestaSubmontana1;0;0
63;FlorestaSubmontana1;0;0
64;FlorestaSubmontana1;0;0
65;FlorestaSubmontana1;0;0
66;FlorestaSubmontana2;0;0
67;FlorestaSubmontana2;1;1
68;FlorestaSubmontana2;0;0
69;FlorestaSubmontana2;0;0
7;FlorestaSubmontana2;1;1
71;FlorestaSubmontana2;1;1
72;FlorestaSubmontana2;3;13
73;FlorestaSubmontana2;2;12
74;FlorestaSubmontana2;1;15
75;FlorestaSubmontana2;4;10
76;FlorestaSubmontana2;0;0
77;FlorestaSubmontana2;0;0
78;FlorestaSubmontana2;2;4
